Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Mar-2025),Crossref citations (as of 24-Mar-2025)
Are public sector jobs better for Ph.D. students? The association between employment sector and doctoral dropout and graduation,Daniel Gama E Colombo,Education Economics,32,2,p167 - p184,2024,10.1080/09645292.2023.2196007,30-Mar-2023,https://doi.org/10.1080/09645292.2023.2196007,220.0,0.0
When can academic researchers rest? An event history analysis on researchers' research productivity and promotion in academia from 1980 to 2016 in Japan,Ayano Fujiwara,Open Review of Educational Research,5,1,p130 - p143,2018,10.1080/23265507.2018.1546552,16-Nov-2018,https://doi.org/10.1080/23265507.2018.1546552,1122.0,2.0
Grades and Graduation: A Longitudinal Risk Perspective to Identify Student Dropouts,Alex J Bowers,The Journal of Educational Research,103,3,p191 - p207,2010,10.1080/00220670903382970,08-Jul-2010,https://doi.org/10.1080/00220670903382970,1546.0,62.0
Prediction of learners' dropout in E-learning based on the unusual behaviors,"Jianjun Zhang, Jin Zhao, Yizhuo Zhou",Interactive Learning Environments,31,3,p1796 - p1820,2023,10.1080/10494820.2020.1857788,23-Dec-2020,https://doi.org/10.1080/10494820.2020.1857788,856.0,14.0
A survival analysis of a language-infused science inquiry intervention for English learners,"Tiberio Garza, Margarita Huerta, Beverly J Irby, Rafael Lara-Alecio, Fuhui Tong",The Journal of Educational Research,112,3,p377 - p384,2019,10.1080/00220671.2018.1536965,31-Dec-2018,https://doi.org/10.1080/00220671.2018.1536965,386.0,1.0
Different pathways towards dropout: the role of engagement in early school leaving,"Carl Lamote, Sara Speybroeck, Jan van Damme, Wim van den Noortgate",Oxford Review of Education,39,6,p739 - p760,2013,10.1080/03054985.2013.854202,22-Oct-2013,https://doi.org/10.1080/03054985.2013.854202,1539.0,40.0
Do structured study programmes lead to lower rates of dropout and student transfer from university?,Elisabeth Hovdhaugen,Irish Educational Studies,30,2,p237 - p251,2011,10.1080/03323315.2011.569143,24-Jun-2011,https://doi.org/10.1080/03323315.2011.569143,643.0,18.0
Preventing Failure Among Middle School Students With Attention Deficit Hyperactivity Disorder: A Survival Analysis,"Steven W Evans, Brandon K Schultz, Zewelanji N Serpell",School Psychology Review,38,1,p14 - p27,2009,10.1080/02796015.2009.12087846,27-Dec-2019,https://doi.org/10.1080/02796015.2009.12087846,109.0,37.0
School dropout in primary schools in rural Cambodia: school-level and student-level factors,"Yukiko Hirakawa, Kyoko Taniguchi",Asia Pacific Journal of Education,41,3,p527 - p542,2021,10.1080/02188791.2020.1832042,23-Oct-2020,https://doi.org/10.1080/02188791.2020.1832042,823.0,9.0
On track for unemployment? Long-term effects of tracks,"Jonas Dockx, Bieke de Fraine",School Effectiveness and School Improvement,30,2,p131 - p154,2019,10.1080/09243453.2018.1537292,08-Nov-2018,https://doi.org/10.1080/09243453.2018.1537292,417.0,6.0
How do institutional factors shape PhD completion rates? An analysis of long-term changes in a European doctoral program,"H - P Blossfeld, J Skopek, M Triventi",Studies in Higher Education,47,2,p318 - p337,2022,10.1080/03075079.2020.1744125,25-Mar-2020,https://doi.org/10.1080/03075079.2020.1744125,2331.0,26.0
Working while studying: the impact of term-time employment on dropout rates,Elisabeth Hovdhaugen,Journal of Education and Work,28,6,p631 - p651,2015,10.1080/13639080.2013.869311,18-Dec-2013,https://doi.org/10.1080/13639080.2013.869311,8067.0,38.0
Graduation and attrition of engineering students in Greece,C Caroni,European Journal of Engineering Education,36,1,p63 - p74,2011,10.1080/03043797.2010.539676,16-Feb-2011,https://doi.org/10.1080/03043797.2010.539676,266.0,9.0
"Social events, bridging courses, and academic skills trainings - participation in first-year courses and higher education dropout in Germany","Susanne Falk, Christina Klug, Maximiliane Marschall",Studies in Higher Education,49,11,p1789 - p1804,2024,10.1080/03075079.2023.2279246,08-Nov-2023,https://doi.org/10.1080/03075079.2023.2279246,355.0,2.0
"Immigrants' mobility towards native-dominated neighbourhoods: the role of individual resources, country of origin, and settlement context",Kati Kadarik,"Geografiska Annaler: Series B, Human Geography",102,2,p191 - p213,2020,10.1080/04353684.2019.1697939,20-Dec-2019,https://doi.org/10.1080/04353684.2019.1697939,1852.0,10.0
Patterns and Factors of High School Dropout Risks of Racial and Linguistic Groups,"Katherine R Allen, Mido Chang, Sunha Kim, Kusum Singh",Journal of Education for Students Placed at Risk (JESPAR),20,4,p336 - p351,2015,10.1080/10824669.2015.1047019,14-Dec-2015,https://doi.org/10.1080/10824669.2015.1047019,2152.0,14.0
Modelling time-to-dropout via shared frailty Cox models. A trade-off between accurate and early predictions,"Marta Cannistrà, Chiara Masci, Paola Mussida",Studies in Higher Education,49,4,p763 - p781,2024,10.1080/03075079.2023.2252833,01-Sep-2023,https://doi.org/10.1080/03075079.2023.2252833,212.0,2.0
Is there order in the mess? A single paper meta-analysis approach to identification of predictors of success in learning analytics,"Dragan Gašević, Jelena Jovanovic, Mohammed Saqr, Olga Viberg",Studies in Higher Education,47,12,p2370 - p2391,2022,10.1080/03075079.2022.2061450,11-Apr-2022,https://doi.org/10.1080/03075079.2022.2061450,3431.0,16.0
School-to-work transition of higher education graduates in four European countries,"Eliza Olivia Lungu, Eva Militaru, Cristina Mocanu, Ana-Maria Zamfir",Compare: A Journal of Comparative and International Education,50,1,p36 - p52,2020,10.1080/03057925.2018.1493572,18-Jul-2018,https://doi.org/10.1080/03057925.2018.1493572,952.0,17.0
Making graduation matter: initial evidence and implications for policy and research,"Victor M H Borden, Jyun-Hong Chen, Ching-Hui Lin",Studies in Higher Education,46,9,p1850 - p1865,2021,10.1080/03075079.2019.1711040,12-Jan-2020,https://doi.org/10.1080/03075079.2019.1711040,719.0,6.0
The effect of fields of study on the waiting time to employment: evidence from the National Graduate Survey of Canada 2005 and 2009/10 cohorts,Komin Qiyomiddin,Journal of Education and Work,37,1-4,p115 - p130,2024,10.1080/13639080.2024.2335464,31-Mar-2024,https://doi.org/10.1080/13639080.2024.2335464,145.0,0.0
What leads to a professorship in German economics? A longitudinal analysis of tenure determinants (1984-2021),"Isabel M Habicht, Mark Lutter, Martin Schröder",Studies in Higher Education,,,p1 - p18,5187,10.1080/03075079.2024.2405553,01-Oct-2024,https://doi.org/10.1080/03075079.2024.2405553,364.0,0.0
Teacher Preparation Pathways: Differences in Program Selection and Teacher Retention,"Afi Y Wiggins, James P van Overschelde",Action in Teacher Education,42,4,p311 - p327,2020,10.1080/01626620.2019.1656116,09-Sep-2019,https://doi.org/10.1080/01626620.2019.1656116,2662.0,15.0
Community is key: estimating the impact of living learning communities on college retention and GPA,Jill L Caviglia-Harris,Education Economics,30,2,p173 - p190,2022,10.1080/09645292.2021.1958167,19-Aug-2021,https://doi.org/10.1080/09645292.2021.1958167,1193.0,7.0
The Education Marketplace: The Predictors of School Growth and Closures in Milwaukee,"Corey A DeAngelis, Will Flanders",Journal of School Choice,13,3,p355 - p379,2019,10.1080/15582159.2019.1595949,30-Mar-2019,https://doi.org/10.1080/15582159.2019.1595949,280.0,5.0
ECONOMIC SHOCKS AND CHILDREN'S DROPOUT FROM PRIMARY SCHOOL: IMPLICATIONS FOR EDUCATION POLICY IN ETHIOPIA,"Adiam Hagos, Tassew Woldehanna",Africa Education Review,12,1,p28 - p47,2015,10.1080/18146627.2015.1036548,27-Jul-2015,https://doi.org/10.1080/18146627.2015.1036548,476.0,11.0
"Modeling of waiting time to first employment of graduates at wolkite university, Ethiopia: Application of accelerated failure time models","Belete Adelo Wobse, Abebe Debu Liga, Yohannes Haile Menuta",Cogent Education,9,1,,2022,10.1080/2331186x.2022.2143032,09-Nov-2022,https://doi.org/10.1080/2331186x.2022.2143032,1811.0,1.0
Student Drops and Failure in Principles Courses,William Bosshardt,The Journal of Economic Education,35,2,p111 - p128,2004,10.3200/jece.35.2.111-128,07-Aug-2010,https://doi.org/10.3200/jece.35.2.111-128,131.0,16.0
"An Examination of Changes to State Civic Education Requirements, 2004-2016","Noah Cohen-Vogel, James Sadler, Connor Willis, Jerry J Wilson",Peabody Journal of Education,94,1,p48 - p62,2019,10.1080/0161956x.2018.1553579,28-Jan-2019,https://doi.org/10.1080/0161956x.2018.1553579,659.0,2.0
Going over the cliff: MOOC dropout behavior at chapter transition,"Chen Chen, Colin Fredericks, David J Malan, Philip M Sadler, Dimitar D Sasselov, Gerhard Sonnert",Distance Education,41,1,p6 - p25,2020,10.1080/01587919.2020.1724772,16-Feb-2020,https://doi.org/10.1080/01587919.2020.1724772,877.0,24.0
The effect on high school drop-out of a middle school relevance intervention,"Natasha K Bowen, Roderick A Rose",The Journal of Educational Research,114,6,p526 - p536,2021,10.1080/00220671.2021.1993123,15-Dec-2021,https://doi.org/10.1080/00220671.2021.1993123,1105.0,2.0
Do employment subsidies reduce early apprenticeship dropout?,"Jan Fries, Christian Göbel, Michael F Maier",Journal of Vocational Education & Training,66,4,p433 - p461,2014,10.1080/13636820.2014.948905,27-Aug-2014,https://doi.org/10.1080/13636820.2014.948905,576.0,3.0
How availability of capital affects the timing of enrollment: the routes to university of traditional and non-traditional students,Tobias Brändle,Studies in Higher Education,42,12,p2229 - p2249,2017,10.1080/03075079.2016.1141401,25-Feb-2016,https://doi.org/10.1080/03075079.2016.1141401,870.0,16.0
Examining career trajectories of Norwegian PhD recipients: slower progression for women academics but not a leaky pipeline,"Dag W Aksnes, Shulamit Kahn, Rune Borgan Reiling, Marte E S Ulvestad",Studies in Higher Education,,,p1 - p24,5187,10.1080/03075079.2024.2400545,10-Sep-2024,https://doi.org/10.1080/03075079.2024.2400545,767.0,1.0
Hooking up during the college years: is there a pattern?,"Frank D Fincham, Spencer B Olmstead, Patricia N E Roberson","Culture, Health & Sexuality",17,5,p576 - p591,2015,10.1080/13691058.2014.972458,17-Nov-2014,https://doi.org/10.1080/13691058.2014.972458,808.0,26.0
Why do they leave? Examining dropout behaviour in gender-atypical vocational education and training in Germany,Janina Beckmann,Journal of Vocational Education & Training,,,p1 - p25,5187,10.1080/13636820.2023.2211546,24-May-2023,https://doi.org/10.1080/13636820.2023.2211546,3092.0,9.0
The Leaky Math Major Pipeline,Keith E Hubbard,PRIMUS,33,1,p51 - p64,2023,10.1080/10511970.2021.2023242,28-Jan-2022,https://doi.org/10.1080/10511970.2021.2023242,295.0,1.0
Determinants of grades in maths for students in economics,"Lorenzo Cappellari, Claudio Lucifora, Dario Pozzoli",Education Economics,20,1,p1 - p17,2012,10.1080/09645291003718340,18-May-2010,https://doi.org/10.1080/09645291003718340,420.0,10.0
Why do higher education students drop out? Evidence from Spain,"Gérard Lassibille, Lucía Navarro Gómez",Education Economics,16,1,p89 - p105,2008,10.1080/09645290701523267,18-Feb-2008,https://doi.org/10.1080/09645290701523267,2583.0,109.0
Using individual study profiles of first-year students in two different disciplines to predict graduation time,"Anne Haarala-Muhonen, Telle Hailikari, Sari Lindblom-Ylänne, Reijo Sund",Studies in Higher Education,45,12,p2604 - p2618,2020,10.1080/03075079.2019.1623771,03-Jun-2019,https://doi.org/10.1080/03075079.2019.1623771,500.0,9.0
Trends in gender disparities at the transition from school to work: labour market entries of young men and women between 1984 and 2005 in West Germany,"Marita Jacob, Corinna Kleinert, Michael Kühhirt",Journal of Vocational Education & Training,65,1,p48 - p65,2013,10.1080/13636820.2012.738427,01-Nov-2012,https://doi.org/10.1080/13636820.2012.738427,700.0,16.0
University-to-work transitions: an empirical analysis on Perugia graduates,"Dario Sciulli, Marcello Signorelli",European Journal of Higher Education,1,1,p39 - p65,2011,10.1080/21568235.2011.588412,04-Jul-2011,https://doi.org/10.1080/21568235.2011.588412,544.0,12.0
Cancellation of indigenous Australians from the apprenticeship training contract,"John Mangan, Bernard Trendle",Education Economics,18,4,p377 - p394,2010,10.1080/09645290903546587,15-Apr-2010,https://doi.org/10.1080/09645290903546587,271.0,4.0
Student loan debt and family formation of youth in Japan,"Hideo Akabayashi, Masayuki Kobayashi, Shinpei Sano, Jie Wang",Studies in Higher Education,49,12,p2441 - p2454,2024,10.1080/03075079.2024.2307972,06-Feb-2024,https://doi.org/10.1080/03075079.2024.2307972,252.0,1.0
The longitudinal retention of STEM students through a multifaceted mentoring and tutoring program,"Peter Zhiqiang Chen, Rita Ramirez-Levine, Donna Rennar-Potacco, Venkat Sharma",Mentoring & Tutoring: Partnership in Learning,33,1,p62 - p81,2025,10.1080/13611267.2024.2420116,29-Oct-2024,https://doi.org/10.1080/13611267.2024.2420116,144.0,0.0
Work intensity and non-completion of university: longitudinal approach and causal inference,"Pierre Doray, Benoît Laplante, Stéphane Moulin, María Constanza Street",Journal of Education and Work,26,3,p333 - p356,2013,10.1080/13639080.2011.653554,06-Feb-2012,https://doi.org/10.1080/13639080.2011.653554,880.0,23.0
Temporal dimension in recognition of prior learning (RPL) in vocational education and training from a social justice perspective,"Rachel Bélisle, Sabruna Dorceus, Évelyne Mottais",International Journal of Lifelong Education,,,p1 - p15,5187,10.1080/02601370.2024.2353165,19-May-2024,https://doi.org/10.1080/02601370.2024.2353165,155.0,1.0
Analysis of ongoing participation in a child care workforce cash incentive programme in the United States,"Sara Gable, Denise Mauzy, Tanja C Rothrauff, Kathy R Thornburg",Early Child Development and Care,180,6,p719 - p734,2010,10.1080/03004430802269018,25-Jul-2008,https://doi.org/10.1080/03004430802269018,210.0,5.0
Into-and Out of-City Schools: The Retention of Teachers Prepared for Urban Settings,Morgaen L Donaldson,Equity & Excellence in Education,42,3,p347 - p370,2009,10.1080/10665680903034753,05-Aug-2009,https://doi.org/10.1080/10665680903034753,567.0,7.0
Determinants of early marriage in Iran: a multivariate survivorship analysis using census microdata,"Milad Bagi, Fatemeh Torabi",International Journal of Adolescence and Youth,29,1,,2024,10.1080/02673843.2024.2312849,12-Feb-2024,https://doi.org/10.1080/02673843.2024.2312849,922.0,1.0
Policy Expansion of School Choice in the American States,"Warren E Langevin, Kenneth K Wong",Peabody Journal of Education,82,2-3,p440 - p472,2007,10.1080/01619560701313085,05-Dec-2007,https://doi.org/10.1080/01619560701313085,837.0,25.0
"State-Funded ""Eminent Scholars"" Programs: University Faculty Recruitment as an Emerging Policy Instrument","James C Hearn, T Austin Lacy, Michael K McLendon",The Journal of Higher Education,84,5,p601 - p639,2013,10.1080/00221546.2013.11777303,31-Oct-2016,https://doi.org/10.1080/00221546.2013.11777303,122.0,8.0
Referral for occupational therapy after diagnosis of developmental disorder by German child psychiatrists,"Julia Drosselmeyer, Marcel Konrad, Karel Kostev",Early Child Development and Care,186,6,p959 - p970,2016,10.1080/03004430.2015.1070262,31-Jul-2015,https://doi.org/10.1080/03004430.2015.1070262,198.0,0.0
A second chance at education for early school leavers,"Cain Polidano, Domenico Tabasso, Yi-Ping Tseng",Education Economics,23,3,p358 - p375,2015,10.1080/09645292.2013.834294,10-Sep-2013,https://doi.org/10.1080/09645292.2013.834294,1088.0,16.0
The benefit of churn? Examining the market characteristics of the Milwaukee Parental Choice Program,William D Flanders,Journal of School Choice,12,2,p254 - p270,2018,10.1080/15582159.2017.1384878,08-Nov-2017,https://doi.org/10.1080/15582159.2017.1384878,169.0,5.0
School-to-work transition in France: the role of education in escaping long-term NEET trajectories,"Jean-François Giret, Christine Guégnard, Olivier Joseph",International Journal of Lifelong Education,39,5-6,p428 - p444,2020,10.1080/02601370.2020.1796835,26-Jul-2020,https://doi.org/10.1080/02601370.2020.1796835,746.0,16.0
A physiological analysis of achievement goal orientations under pressure: An experimental analysis,Georgios D Sideridis,International Journal of School & Educational Psychology,8,3,p227 - p238,2020,10.1080/21683603.2018.1538913,20-Nov-2018,https://doi.org/10.1080/21683603.2018.1538913,311.0,3.0
"A tale of two logics: social reproduction and mobilisation in university access in Quebec, 1945-2000","Nicolas Bastien, Pierre Chenard, Pierre Doray, Benoît Laplante",British Journal of Sociology of Education,37,2,p313 - p333,2016,10.1080/01425692.2014.933668,08-Aug-2014,https://doi.org/10.1080/01425692.2014.933668,374.0,1.0
An Analysis of Academic and Institutional Factors Affecting Graduation Among Engineering Students at a South African University,"Annah V Bengesai, Vinodhani Paideya","African Journal of Research in Mathematics, Science and Technology Education",22,2,p137 - p148,2018,10.1080/18117295.2018.1456770,27-Apr-2018,https://doi.org/10.1080/18117295.2018.1456770,834.0,9.0
Alternative Routes from Vocational Education to the Labour Market. Labour Market Effects of Full-time vs. Dualized Vocational Education∗,"Bob Lodder, Rolf van der Velden",Educational Research and Evaluation,1,2,p109 - p128,1995,10.1080/1380361950010201,28-Jul-2006,https://doi.org/10.1080/1380361950010201,31.0,6.0
University education and transition into the labour market during the financial crisis. Spanish evidence,"Juan Francisco Canal Domínguez, César Rodríguez Gutiérrez",Quality in Higher Education,25,2,p155 - p170,2019,10.1080/13538322.2019.1650448,07-Aug-2019,https://doi.org/10.1080/13538322.2019.1650448,239.0,4.0
The Effect of Mathematics on the College Graduation Rates of Adult Students,Aimee Tennant,The Journal of Continuing Higher Education,62,1,p17 - p28,2014,10.1080/07377363.2014.872004,03-Mar-2014,https://doi.org/10.1080/07377363.2014.872004,225.0,0.0
The MOOC dropout phenomenon and retention strategies,"Catherine Cheung, Joselyn Goopio",Journal of Teaching in Travel & Tourism,21,2,p177 - p197,2021,10.1080/15313220.2020.1809050,12-Sep-2020,https://doi.org/10.1080/15313220.2020.1809050,2544.0,66.0
What Happens after Tenure? Exploring Stimuli of Promotion to Full Professor in Top-Ranking Criminology and Criminal Justice Programs in the United States,"Richard R Bennett, Katherine Dunn, Sanja Kutnjak Ivkovich, Yang Vincent Liu, Jon Maskály, Skyler Morgan, Yongjae Nam",Journal of Criminal Justice Education,,,p1 - p22,5187,10.1080/10511253.2023.2261797,27-Sep-2023,https://doi.org/10.1080/10511253.2023.2261797,225.0,0.0
Persistence in Science Play and Gender: Findings from Early Childhood Classrooms in Ireland,"Kathleen Corriveau, Therese Farell, Therese Gilligan, Sona Kumar, Judy Lovett, Eilish McLoughlin, Sinéad McNally",Early Education and Development,34,4,p927 - p939,2023,10.1080/10409289.2022.2071568,12-May-2022,https://doi.org/10.1080/10409289.2022.2071568,756.0,2.0
