spol,spol_starša,izob_matere,izob_očeta,število,izpolnjeval,vključen,status_matere,status_očeta,jezik,OPP,drugo,age_in_months,starost_vkljucitev,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
ženski,ženski,srednja šola,srednja šola,5.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Ne. Izredno hvaležna sva kot starša, da so vzgojitelji našima deklicama v predšolski doobi pomagali nadgraditi že osvojene spretnosti, skrb za lastno telo in higijeno ter omogočil celosteni razvoj z gibanjem, glasbo, ustvarjalnim delom. Vzgojne ustanove (vrtec v tem primeru) se je pri nas izkazal kot odlična podpora pri vzgoji deloovnih navad in reda, vendar obe navedeni, sta pridobljeni doma, kakor je tudi prav.",86.0,11.0,-1.0,-0.25,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.14285714285714285,0.25
moški,ženski,srednja šola,srednja šola,2.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,da,,82.0,13.0,2.0,2.0,2.0,2.0,1.625,1.75,2.0,2.0,1.8571428571428572,1.4166666666666667
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),3.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,85.0,18.0,1.7142857142857142,1.0,0.5714285714285714,0.6,1.875,1.75,0.0,0.5,1.7142857142857142,0.9166666666666666
ženski,ženski,magisterij ali doktorat znanosti,zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za krajši delovni čas,Slovenščina,ne,,85.0,12.0,2.0,1.625,1.8571428571428572,1.8,1.875,1.25,0.25,1.5,1.2857142857142858,0.3333333333333333
ženski,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,"ni bil zaposlen, vendar je iskal zaposlitev",Srb-hr,ne,,83.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),3.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,da,"Za mojega otroka je bilo v vrtcu zelo lepo poskrbljeno. Po njegovi diagnozi epilepsije in njenih posledicah je bil izdelan individualni program zanj, kar je neprecenljivo. Empatija osebja je bila zame kot mater ključnega pomena v najtežjih trenutkih. Za prehod v šolo so po mojem pooblastilu pripravili vso dokumentacijo in poročila za šolske pedagoge. Vsekakor je vrtec zelo pomembna življenska izkušnja za otroka. Žal se vrtci v Kopru preveč prilagajajo t.i. ''novim'' kulturam in običajem drugih narodov in zato zmanjkuje časa in prostora za ostale stvari, ki so del slovenske kulture.",82.0,11.0,2.0,1.625,1.5714285714285714,1.4,2.0,1.25,0.5,1.5,2.0,1.9166666666666667
moški,moški,osnovna šola ali manj,osnovna šola ali manj,5.0,Tretje ali kasneje rojenega otroka,da,ni bila zaposlena,zaposlen za krajši delovni čas,Albanščina,ne,,81.0,17.752508361204015,1.5714285714285714,0.875,1.2857142857142858,1.2,1.25,1.25,0.75,1.1666666666666667,1.1428571428571428,1.1666666666666667
moški,ženski,srednja šola,srednja šola,4.0,Prvorojenega/edinega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,80.0,41.752508361204015,2.0,1.75,1.8571428571428572,2.0,2.0,1.75,1.75,1.0,2.0,2.0
moški,ženski,zaključen študij (fakulteta),srednja šola,2.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,78.0,11.0,1.6428571428571428,1.25,0.8571428571428571,1.6,1.625,1.75,0.5,1.8333333333333333,1.0,1.0
ženski,ženski,srednja šola,srednja šola,3.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,86.0,30.0,2.0,2.0,2.0,1.8,1.875,1.5,1.25,0.3333333333333333,2.0,1.75
ženski,ženski,magisterij ali doktorat znanosti,srednja šola,3.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,85.0,11.0,2.0,1.5,-0.14285714285714285,0.0,2.0,1.0,0.0,2.0,0.7142857142857143,0.16666666666666666
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,ne,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Pri vprašalniku vidi pomanjkljivost v tem, da mi ne da možnosti odzvati se na posamezne trditve (V10 - V17) v splošnem smislu - ali je navedena trditev v splošnem bila ali ne razlog za vključitev mojega otroka v vrtec. Moj glavni razlog za vključitev otroka v vrtec je bila predvsem zaradi zagotavljanja varstva v času, ko smo starši v službi; od vrtca nisem neposredno pričakovala, da bo mojega otroka izobrazil na področju umetnosti, gibanja, zdravega življenja ipd., kot tudi ne, da bo v vrtcu načrtno razvijal socialne kompetence. Seveda, če se je vse to v času njegovega obikovanja vrtca zgodilo, je to dobrodošel ''stranski učinek''.",80.0,23.0,0.07142857142857142,-0.625,-0.2857142857142857,-0.4,0.0,0.0,-0.5,0.0,1.8571428571428572,0.3333333333333333
moški,ženski,srednja šola,srednja šola,2.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Bosanščina,ne,,80.0,29.752508361204015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moški,moški,magisterij ali doktorat znanosti,zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Za vključitev otroka v vrtec sem se odločila zarafi potrebe po varstvu in ne zaradi naštetih trditev v vprašalniku! Večino veščin, ki jih omenja vprašalnik otrok osvoji tudi v domačem, družinskem okolju. Nekatere veščine, kot je uporaba digitalnih orodij, črk, itd. se mi ne zdijo nujno potrebna za 1-5 letne otroke. Moji odgovori v vprašalniku navajajo mnenje k čemu vrtec prispeva ali bi moral prispevati. Ne odražapa razlogovza vpis v vrtec.",82.0,11.0,0.42857142857142855,0.0,1.7142857142857142,0.6,1.125,1.25,-0.25,1.0,1.2857142857142858,0.9166666666666666
ženski,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,87.0,30.0,2.0,2.0,2.0,0.8,1.625,2.0,1.5,2.0,1.2857142857142858,1.25
ženski,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,ni bila zaposlena,zaposlen za polni delovni čas,Slovenščina,ne,,80.0,24.0,-0.2857142857142857,0.875,0.0,0.8,1.25,1.0,0.0,0.8333333333333334,1.5714285714285714,1.9166666666666667
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,79.0,12.0,0.7857142857142857,0.0,-0.7142857142857143,-1.4,-0.375,-0.25,0.0,-0.8333333333333334,1.0,-0.3333333333333333
ženski,ženski,srednja šola,srednja šola,3.0,Prvorojenega/edinega otroka,da,ni bila zaposlena,zaposlen za polni delovni čas,Slovenščina,ne,,83.0,39.0,2.0,1.875,2.0,2.0,2.0,2.0,2.0,1.8333333333333333,2.0,2.0
ženski,ženski,magisterij ali doktorat znanosti,zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,82.0,25.0,2.0,2.0,1.8571428571428572,1.8,2.0,2.0,1.0,1.6666666666666667,2.0,-0.08333333333333333
ženski,ženski,zaključen študij (fakulteta),srednja šola,4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,Ne.,83.0,26.0,2.0,2.0,1.5714285714285714,1.6,2.0,2.0,0.75,1.3333333333333333,1.7142857142857142,1.25
ženski,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,98.0,30.0,1.2857142857142858,0.875,1.5714285714285714,0.8,1.0,1.0,-0.25,1.0,1.1428571428571428,1.0833333333333333
ženski,ženski,zaključen študij (fakulteta),magisterij ali doktorat znanosti,3.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,80.0,36.0,1.5,1.625,0.42857142857142855,2.0,0.5,1.0,0.0,1.1666666666666667,1.8571428571428572,1.25
moški,ženski,srednja šola,srednja šola,5.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,87.0,11.0,1.9285714285714286,1.75,1.8571428571428572,2.0,1.875,2.0,2.0,1.6666666666666667,1.4285714285714286,1.0
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),8.0,Tretje ali kasneje rojenega otroka,da,ni bila zaposlena,zaposlen za polni delovni čas,Slovenščina,ne,,82.0,62.0,0.07142857142857142,0.25,1.1428571428571428,0.6,1.0,1.0,0.0,1.0,0.42857142857142855,0.75
moški,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,89.0,11.0,2.0,1.5,2.0,1.0,1.25,1.0,1.25,2.0,1.8571428571428572,2.0
moški,ženski,srednja šola,srednja šola,6.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,80.0,41.752508361204015,1.0,0.875,1.0,1.0,1.125,1.0,1.0,1.8333333333333333,1.4285714285714286,1.1666666666666667
moški,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,90.0,11.0,1.7857142857142858,1.75,1.2857142857142858,0.6,0.5,1.25,-0.25,0.8333333333333334,1.2857142857142858,1.0
moški,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,87.0,30.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
ženski,ženski,srednja šola,srednja šola,3.0,Tretje ali kasneje rojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,84.0,29.0,2.0,1.875,1.8571428571428572,2.0,2.0,2.0,1.5,2.0,1.7142857142857142,1.3333333333333333
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,ni bil zaposlen,Slovenščina,ne,,86.0,30.0,1.0,0.25,1.0,0.4,1.375,0.5,0.25,0.3333333333333333,0.7142857142857143,0.9166666666666666
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,87.0,11.0,2.0,1.875,1.8571428571428572,2.0,2.0,2.0,1.75,2.0,1.8571428571428572,0.5
moški,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,91.0,41.752508361204015,0.9285714285714286,0.625,0.42857142857142855,0.0,0.875,0.5,0.5,0.5,0.8571428571428571,0.9166666666666666
ženski,ženski,zaključen študij (fakulteta),srednja šola,5.0,Drugorojenega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,84.0,27.0,1.7142857142857142,0.875,1.8571428571428572,1.6,2.0,1.25,1.0,1.6666666666666667,1.7142857142857142,1.3333333333333333
ženski,ženski,srednja šola,srednja šola,2.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,88.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
moški,moški,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,87.0,20.0,2.0,1.375,1.5714285714285714,1.6,1.75,1.25,1.5,1.8333333333333333,1.7142857142857142,1.5833333333333333
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,84.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ženski,ženski,zaključen študij (fakulteta),srednja šola,4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,77.0,11.0,2.0,1.375,1.2857142857142858,1.0,1.375,1.0,0.5,0.8333333333333334,2.0,1.1666666666666667
ženski,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,"ni bila zaposlena, vendar je iskala zaposlitev",zaposlen za polni delovni čas,Slovenščina,ne,,81.0,12.0,2.0,1.625,1.7142857142857142,1.6,1.875,2.0,0.0,0.0,1.7142857142857142,1.8333333333333333
moški,ženski,zaključen študij (fakulteta),srednja šola,4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,87.0,31.0,-0.2857142857142857,-0.625,0.8571428571428571,0.8,1.625,1.0,0.0,0.6666666666666666,0.42857142857142855,-0.3333333333333333
ženski,ženski,srednja šola,srednja šola,5.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,81.0,26.0,1.2142857142857142,0.875,0.0,0.0,1.75,0.75,0.75,2.0,1.4285714285714286,1.4166666666666667
ženski,ženski,srednja šola,srednja šola,3.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,88.0,33.0,2.0,1.75,1.8571428571428572,1.8,2.0,2.0,0.0,1.8333333333333333,0.7142857142857143,0.5
moški,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,77.0,21.0,2.0,1.375,1.1428571428571428,0.8,1.25,1.0,1.25,1.0,1.1428571428571428,0.9166666666666666
moški,ženski,zaključen študij (fakulteta),srednja šola,3.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,85.0,29.0,2.0,1.625,1.7142857142857142,0.8,1.0,1.0,0.5,0.6666666666666666,0.8571428571428571,1.25
moški,ženski,srednja šola,srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Bosanščina,ne,,84.0,16.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.1428571428571428,1.8333333333333333
ženski,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),8.0,Tretje ali kasneje rojenega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,88.0,20.0,1.0,0.625,1.0,0.2712074303405572,1.125,0.5,0.25,0.23529411764705888,1.4285714285714286,0.6666666666666666
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),5.0,Tretje ali kasneje rojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,81.0,13.0,1.7142857142857142,0.375,0.7142857142857143,0.0,0.75,0.75,0.25,0.3333333333333333,1.0,0.5833333333333334
moški,ženski,zaključen študij (fakulteta),srednja šola,5.0,Drugorojenega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,79.0,34.0,2.0,1.75,1.8571428571428572,2.0,1.875,2.0,1.75,1.0,1.5714285714285714,1.0
moški,ženski,zaključen študij (fakulteta),srednja šola,4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,88.0,12.0,2.0,2.0,2.0,-0.6,0.0,0.75,0.25,-0.8333333333333334,1.5714285714285714,0.75
ženski,ženski,zaključen študij (fakulteta),srednja šola,2.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,81.0,13.0,2.0,2.0,1.8571428571428572,1.8,1.875,2.0,1.5,1.7915376676986583,1.8571428571428572,1.9166666666666667
ženski,ženski,srednja šola,zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,86.0,12.0,2.0,0.375,0.0,-2.0,0.5,0.25,-0.5,0.3333333333333333,1.4285714285714286,-0.8333333333333334
moški,ženski,zaključen študij (fakulteta),srednja šola,5.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,81.0,47.0,1.5714285714285714,1.5,1.1428571428571428,2.0,1.625,1.75,2.0,2.0,1.8571428571428572,1.1666666666666667
ženski,ženski,zaključen študij (fakulteta),srednja šola,5.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,78.0,47.0,1.5714285714285714,1.5,1.1428571428571428,2.0,1.625,1.75,2.0,2.0,1.8571428571428572,0.9166666666666666
moški,ženski,zaključen študij (fakulteta),osnovna šola ali manj,4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Vrtec je v vseh pogledih pozitiven vpliv na otroka predvse, če je strokovno osebje (vzgojitelji, pomočniki in ostalo osebje vrtca) profesionalno in strokovno. Se pa žal še vedno prepogosto dogaja, da se z otroci za zaprtimi vrati dogaja marsikaj. Nujno bi bilo potrebno uvesti psihološke teste za vse, ki dalajo direktno z otroci (moje mnenje, da ni vsak primeren za delo v VIZ). Hvala.",87.0,19.0,2.0,1.625,1.7142857142857142,1.6,2.0,2.0,1.0,1.6666666666666667,2.0,1.8333333333333333
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),7.0,Tretje ali kasneje rojenega otroka,da,ni bila zaposlena,zaposlen za polni delovni čas,Slovenščina,ne,,83.0,15.0,1.3571428571428572,1.375,1.5714285714285714,1.0,2.0,1.25,0.5,1.6666666666666667,1.8571428571428572,1.3333333333333333
ženski,ženski,srednja šola,srednja šola,4.0,Prvorojenega/edinega otroka,da,ni bila zaposlena,zaposlen za polni delovni čas,Bosanščina,ne,,85.0,53.752508361204015,1.0,1.0,1.0,1.0,1.0,1.0,0.8575310559006211,1.0,1.0,1.0
moški,ženski,magisterij ali doktorat znanosti,zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,90.0,23.0,1.3571428571428572,1.25,1.7142857142857142,1.8,2.0,2.0,1.25,2.0,2.0,2.0
moški,ženski,zaključen študij (fakulteta),magisterij ali doktorat znanosti,5.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,88.0,20.0,1.0,0.625,1.1428571428571428,0.6,1.0,0.75,-0.75,0.3333333333333333,1.0,0.8333333333333334
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Rubrike so nas zanimale, seveda so vse tudi uresničene, če je vzgojitelj/vzgojiteljica tudi dovolj strokoven/strokovna. Žal je po vrtcih - sploh javnih - čedalje več slabih izkušenj. Razlika je namreč v tem ali otroka res vzgajaš, učiš, vodiš ali ga v bistvu komandiraš in mu s tem onemogočaš ""zdrav"" razvoj. kako naj leti, če mu že od zgodnjega otroštva ""režeš peruti"". Vse premalo se tako v vrtcih kot tudi v šolah resnično posvečajo otrokom, ker imajo žal drugačne interese. Premalokrat se otroka vpraša za mnenje, oni so tisti, ki preživljajo veliko časa v vrtcih in šolah. Vprašajmo njih in se skupaj pogovarjajmo ter ""rešujemo"" stiske.",80.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8333333333333333
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,82.0,13.0,1.2857142857142858,0.75,1.2857142857142858,0.0,1.0,1.0,0.25,0.5,1.2857142857142858,0.75
ženski,moški,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,"Šola oz. vrtci naj imajo vzgojno izobraževalno poslanstvo, ter ohranjajo preverjene stare prakse in naj ne podležejo digitalizaciji na vsakem koraku.",79.0,30.0,1.4285714285714286,1.25,0.7142857142857143,0.8,1.875,1.75,0.5,1.6666666666666667,1.8571428571428572,1.0
ženski,ženski,zaključen študij (fakulteta),srednja šola,3.0,Prvorojenega/edinega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,78.0,11.0,1.0714285714285714,0.25,1.0,0.6,0.875,1.25,0.0,0.5,1.4285714285714286,1.0
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,/,87.0,14.0,2.0,2.0,2.0,2.0,1.6619230769230768,2.0,1.75,-0.16666666666666666,1.2857142857142858,0.75
moški,ženski,srednja šola,srednja šola,5.0,Tretje ali kasneje rojenega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,88.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8571428571428571,0.9166666666666666
moški,ženski,srednja šola,srednja šola,2.0,Prvorojenega/edinega otroka,da,ni bila zaposlena,zaposlen za polni delovni čas,Slovenščina,ne,,83.0,11.0,1.7142857142857142,1.125,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667
moški,ženski,magisterij ali doktorat znanosti,magisterij ali doktorat znanosti,3.0,Prvorojenega/edinega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,82.0,14.0,1.2142857142857142,1.0,0.5714285714285714,0.4,0.625,0.75,0.0,0.8333333333333334,1.2857142857142858,0.6666666666666666
moški,ženski,zaključen študij (fakulteta),magisterij ali doktorat znanosti,6.0,Tretje ali kasneje rojenega otroka,da,zaposlena za krajši delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,82.0,13.0,1.0,0.625,0.5714285714285714,0.4,0.875,0.5,0.0,0.6666666666666666,1.0,1.0
moški,ženski,zaključen študij (fakulteta),zaključen študij (fakulteta),4.0,Drugorojenega otroka,da,zaposlena za polni delovni čas,zaposlen za polni delovni čas,Slovenščina,ne,,85.0,29.0,1.2857142857142858,0.75,1.5714285714285714,1.4,1.5,1.25,0.25,0.5,1.5714285714285714,1.0833333333333333
